time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 15:31:17.441739594,1040.8606758594901,499.43184695450304,"{'D','D'}",5.0,-1.0,{}
2019-11-05 15:31:17.448882451,,,"{'D','D'}",5.5,-1.5,{}
2019-11-05 15:31:17.456025308,1035.4811741860601,498.086514714588,"{'D','D'}",6.0,-2.0,{}
2019-11-05 15:31:17.463168165,1030.1660752134599,497.22877325095993,{'D'},7.0,-1.5,{}
2019-11-05 15:31:17.470311022,,,"{'D','D'}",7.0,-2.0,{}
2019-11-05 15:31:17.477453879,1028.3030313133802,496.709858811668,"{'D','D'}",8.0,-2.0,{}
2019-11-05 15:31:17.484596736,,,{'D'},8.5,-2.5,{}
2019-11-05 15:31:17.491739593,1025.39046459386,495.306756380859,"{'D','D'}",9.0,-2.5,{}
2019-11-05 15:31:17.498882450,1023.6311604372698,493.715148294309,"{'D','D'}",9.0,-3.5,{}
2019-11-05 15:31:17.506025307,,,"{'D','D'}",8.5,-2.0,{}
2019-11-05 15:31:17.513168164,1019.3868610033901,491.697315599711,"{'D','D'}",11.0,-4.0,{}
2019-11-05 15:31:17.520311021,1011.0662300954199,489.522084828509,{'D'},10.5,-4.0,{}
2019-11-05 15:31:17.527453878,,,"{'D','D'}",14.5,-5.5,{}
2019-11-05 15:31:17.534596735,1010.31710387077,489.43461788500196,"{'D','D'}",13.0,-6.0,{}
2019-11-05 15:31:17.541739592,1005.4123545703801,489.38039715318,{'D'},14.0,-6.0,{}
2019-11-05 15:31:17.548882449,,,"{'D','D'}",15.5,-6.5,{}
2019-11-05 15:31:17.556025306,1000.5238059089,490.244478548039,"{'D','D'}",16.0,-8.0,{}
2019-11-05 15:31:17.563168163,994.612955452303,490.82537222695396,"{'D','D'}",18.5,-9.5,{}
2019-11-05 15:31:17.570311020,,,"{'D','D'}",19.0,-11.0,{}
2019-11-05 15:31:17.577453877,992.2659203477,491.413571778554,{'D'},19.0,-11.0,{}
2019-11-05 15:31:17.584596734,,,"{'D','D'}",20.5,-12.0,{}
2019-11-05 15:31:17.591739591,977.8449267152021,493.254972487406,"{'D','D'}",21.5,-13.0,{}
2019-11-05 15:31:17.598882448,977.327078322838,493.62823091023597,"{'D','D'}",21.5,-13.5,{}
2019-11-05 15:31:17.606025305,,,"{'D','D'}",23.0,-13.0,{}
2019-11-05 15:31:17.613168162,968.400359710464,493.710231627646,{},20.5,-13.5,{}
2019-11-05 15:31:17.620311019,963.5076276234331,493.70888398932,{},22.5,-13.5,{}
2019-11-05 15:31:17.627453876,,,{},21.0,-14.5,{}
2019-11-05 15:31:17.634596733,956.958481648145,493.784264079759,"{'SPACE','SPACE'}",22.0,-16.0,{}
2019-11-05 15:31:17.641739590,940.287035838096,494.666799393398,{'SPACE'},20.5,-15.0,{}
2019-11-05 15:31:17.648882447,,,"{'SPACE','1','SPACE','1','SPACE'}",18.0,-14.0,{}
2019-11-05 15:31:17.656025304,926.726108509193,497.060953624124,"{'1','SPACE'}",10.0,-7.5,{}
2019-11-05 15:31:17.663168161,915.538266747771,499.588412510663,"{'1','SPACE','1','SPACE'}",13.0,-11.0,{}
2019-11-05 15:31:17.670311018,,,"{'1','SPACE','1','SPACE'}",10.0,-9.5,{}
2019-11-05 15:31:17.677453875,910.1023517611951,502.04051598257996,"{'1','SPACE','1','SPACE'}",7.0,-9.0,{}
2019-11-05 15:31:17.684596732,,,"{'1','SPACE'}",5.0,-5.5,{}
2019-11-05 15:31:17.691739589,907.7685986297121,502.921900038172,"{'1','SPACE','1','SPACE'}",3.0,-7.0,{}
2019-11-05 15:31:17.698882446,896.4452240940719,509.315719273274,"{'1','SPACE','1','SPACE'}",-0.5,-1.0,{}
2019-11-05 15:31:17.706025303,,,"{'1','SPACE'}",-1.0,-1.5,{}
2019-11-05 15:31:17.713168160,890.4516394752541,511.293278101784,"{'1','SPACE','1','SPACE'}",-2.5,-1.0,{}
2019-11-05 15:31:17.720311017,877.168992500051,521.244151244298,"{'1','SPACE','1','SPACE'}",-3.0,-1.0,{}
2019-11-05 15:31:17.727453874,,,"{'1','SPACE'}",-5.0,0.0,{}
2019-11-05 15:31:17.734596731,878.4435060229581,520.9586359506491,"{'1','SPACE','1','SPACE'}",-6.0,0.0,{}
2019-11-05 15:31:17.741739588,869.532725434216,527.827173785614,"{'1','SPACE','1','W','SPACE'}",-10.5,2.0,{}
2019-11-05 15:31:17.748882445,,,"{'1','W','SPACE','1','W','SPACE'}",-7.5,2.5,{}
2019-11-05 15:31:17.756025302,867.29840875903,529.955267100877,"{'1','W','SPACE','1','W'}",-6.0,3.0,{}
2019-11-05 15:31:17.763168159,864.950299709507,531.534579799866,"{'1','W'}",-9.0,4.5,{}
2019-11-05 15:31:17.770311016,,,"{'W','W'}",-9.0,4.5,{}
2019-11-05 15:31:17.777453873,863.405099169701,533.843805415159,"{'W','W'}",-9.5,5.5,{}
2019-11-05 15:31:17.784596730,,,"{'W','W'}",-9.0,4.0,{}
2019-11-05 15:31:17.791739587,863.4804757660629,536.223319414605,{'W'},-9.0,6.0,{}
2019-11-05 15:31:17.798882444,866.7191569897909,540.2220458774179,"{'W','W'}",-10.0,7.0,{}
2019-11-05 15:31:17.806025301,,,"{'W','W'}",-8.5,6.0,{}
2019-11-05 15:31:17.813168158,867.4602622425521,540.015712553901,"{'W','W'}",-10.5,7.0,{}
2019-11-05 15:31:17.820311015,867.334231476355,539.943237360015,"{'W','W'}",-8.0,5.0,{}
2019-11-05 15:31:17.827453872,,,{'W'},-16.0,12.5,{}
2019-11-05 15:31:17.834596729,871.417645475072,538.763727135133,"{'W','W'}",-10.0,7.0,{}
2019-11-05 15:31:17.841739586,873.223515018929,538.7363770590821,"{'W','W'}",-15.5,11.0,{}
2019-11-05 15:31:17.848882443,,,"{'W','W'}",-16.5,10.5,{}
2019-11-05 15:31:17.856025300,875.563454998572,538.453954415178,"{'W','W'}",-9.0,7.0,{}
2019-11-05 15:31:17.863168157,876.057448770724,539.301470217927,{'W'},-10.0,6.0,{}
2019-11-05 15:31:17.870311014,,,"{'W','W'}",-10.5,6.5,{}
2019-11-05 15:31:17.877453871,880.726488536829,537.4751310284299,"{'W','W'}",-15.0,9.0,{}
2019-11-05 15:31:17.884596728,,,{'W'},-12.0,6.5,{}
2019-11-05 15:31:17.891739585,882.5491376379289,538.137102331614,"{'W','W'}",-12.0,6.5,{}
2019-11-05 15:31:17.898882442,886.66923045459,537.865815821148,"{'W','W'}",-13.5,7.0,{}
2019-11-05 15:31:17.906025299,,,{'W'},-16.0,7.0,{}
2019-11-05 15:31:17.913168156,890.503772993239,538.738496971147,"{'W','W'}",-19.0,8.5,{}
2019-11-05 15:31:17.920311013,894.9022582399301,539.387806594254,"{'W','W'}",-16.5,6.5,{}
2019-11-05 15:31:17.927453870,,,"{'W','W'}",-16.0,7.0,{}
2019-11-05 15:31:17.934596727,898.960048836459,539.8868167195901,{'W'},-8.0,4.0,{}
2019-11-05 15:31:17.941739584,907.419863609207,538.6998069510901,"{'W','W'}",-13.5,6.5,{}
2019-11-05 15:31:17.948882441,,,"{'W','W'}",-10.0,6.5,{}
2019-11-05 15:31:17.956025298,908.091168386651,537.970956716355,"{'W','W'}",-6.0,5.5,{}
2019-11-05 15:31:17.963168155,918.60870181935,534.038279859681,"{'W','W'}",-3.5,5.0,{}
2019-11-05 15:31:17.970311012,,,{'W'},0.0,5.0,{}
2019-11-05 15:31:17.977453869,921.6597245267931,532.744969076383,"{'W','W'}",0.5,4.5,{}
2019-11-05 15:31:17.984596726,,,"{'W','W'}",3.0,3.5,{}
2019-11-05 15:31:17.991739583,928.754451314397,529.92035823864,{'W'},3.0,3.0,{}
2019-11-05 15:31:17.998882440,935.988115361535,527.088300605181,"{'W','W'}",9.0,4.5,{}
2019-11-05 15:31:18.006025297,,,"{'W','W'}",10.5,3.0,{}
2019-11-05 15:31:18.013168154,935.589814688944,527.542619100313,"{'W','W'}",13.0,3.0,{}
2019-11-05 15:31:18.020311011,937.599490878392,527.659248333605,{'W'},13.0,3.0,{}
2019-11-05 15:31:18.027453868,,,"{'W','W'}",1.5,-0.5,{}
2019-11-05 15:31:18.034596725,937.785069916535,525.6987579999189,"{'W','W'}",13.0,0.5,{}
2019-11-05 15:31:18.041739582,938.470674377901,523.425802879538,{'W'},13.0,1.0,{}
2019-11-05 15:31:18.048882439,,,"{'W','W'}",12.0,0.0,{}
2019-11-05 15:31:18.056025296,937.2057457756321,520.408144466013,"{'W','W'}",10.0,0.0,{}
2019-11-05 15:31:18.063168153,937.415544991093,520.812599495968,"{'W','W'}",9.5,-1.0,{}
2019-11-05 15:31:18.070311010,,,"{'W','W'}",10.0,-1.0,{}
2019-11-05 15:31:18.077453867,935.6713318131309,522.161647709857,{'W'},7.5,-1.0,{}
2019-11-05 15:31:18.084596724,,,"{'W','W'}",8.0,-3.0,{}
2019-11-05 15:31:18.091739581,932.8310862929179,523.805136579379,"{'W','W'}",6.5,-2.0,{}
2019-11-05 15:31:18.098882438,927.873560944176,524.3334677591799,"{'W','W'}",6.0,-2.5,{}
2019-11-05 15:31:18.106025295,,,{'W'},4.5,-2.0,{}
2019-11-05 15:31:18.113168152,916.81745027464,525.755793248023,"{'W','W'}",4.0,-3.0,{}
2019-11-05 15:31:18.120311009,914.249629284017,524.5613459607309,"{'W','W'}",4.0,-2.0,{}
2019-11-05 15:31:18.127453866,,,"{'W','W'}",2.5,-3.0,{}
2019-11-05 15:31:18.134596723,907.218678910979,522.903272124191,{'W'},2.5,-3.5,{}
