time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 15:40:34.584585594,892.9672816786141,529.875930270822,"{'A','SPACE','A','SPACE'}",-32.5,3.5,{}
2019-11-05 15:40:34.591728451,,,"{'A','SPACE','A','SPACE'}",-24.0,2.0,{}
2019-11-05 15:40:34.598871308,904.742871172675,531.681607168852,{'SPACE'},-28.0,3.5,{}
2019-11-05 15:40:34.606014165,899.7632223585871,530.551818390355,"{'SPACE','SPACE'}",-19.0,3.0,{}
2019-11-05 15:40:34.613157022,,,"{'SPACE','SPACE'}",-19.5,3.0,{}
2019-11-05 15:40:34.620299879,907.135344702334,531.920000237969,{'SPACE'},-15.0,2.0,{}
2019-11-05 15:40:34.627442736,,,{'SPACE'},-14.0,2.0,{}
2019-11-05 15:40:34.634585593,930.710152665772,537.815964084394,"{'SPACE','SPACE'}",-8.0,1.0,{}
2019-11-05 15:40:34.641728450,945.449280383135,540.856507585042,"{'SPACE','SPACE'}",-6.0,1.0,{}
2019-11-05 15:40:34.648871307,,,{'SPACE'},-2.5,0.5,{}
2019-11-05 15:40:34.656014164,950.226632520726,541.849235382417,"{'SPACE','SPACE'}",0.0,0.0,{}
2019-11-05 15:40:34.663157021,962.734093990484,545.8700072671779,{'SPACE'},1.0,0.0,{}
2019-11-05 15:40:34.670299878,,,"{'SPACE','SPACE'}",2.5,1.0,{}
2019-11-05 15:40:34.677442735,972.591799192783,549.355691650009,{'SPACE'},3.0,0.0,{}
2019-11-05 15:40:34.684585592,977.090890427747,550.839445997822,"{'SPACE','SPACE'}",6.0,0.0,{}
2019-11-05 15:40:34.691728449,,,"{'D','SPACE','D','SPACE'}",8.5,0.0,{}
2019-11-05 15:40:34.698871306,993.818331212466,554.070059455374,"{'D','D'}",11.5,-1.0,{}
2019-11-05 15:40:34.706014163,1004.7350361396001,557.550880758666,{'D'},12.0,0.0,{}
2019-11-05 15:40:34.713157020,,,"{'D','D'}",16.0,-1.0,{}
2019-11-05 15:40:34.720299877,1006.4029293545099,558.952338259242,"{'D','D'}",15.0,-1.5,{}
2019-11-05 15:40:34.727442734,,,{'D'},14.0,-2.0,{}
2019-11-05 15:40:34.734585591,1007.870593178,561.643832312786,"{'D','D'}",16.0,-1.0,{}
2019-11-05 15:40:34.741728448,1006.71668459791,563.26066708422,{'D'},15.0,-3.0,{}
2019-11-05 15:40:34.748871305,,,"{'D','D'}",22.5,-4.0,{}
2019-11-05 15:40:34.756014162,1009.9602495403099,565.930258566897,"{'D','D'}",11.5,-1.5,{}
2019-11-05 15:40:34.763157019,1012.76890812534,572.601558854646,"{'D','D'}",18.0,-3.0,{}
2019-11-05 15:40:34.770299876,,,{'D'},10.0,-2.0,{}
2019-11-05 15:40:34.777442733,1012.0913663681,571.131718139047,"{'D','D'}",4.0,-0.5,{}
2019-11-05 15:40:34.784585590,1012.3611568756199,576.071336363752,"{'D','D'}",18.5,-3.5,{}
2019-11-05 15:40:34.791728447,,,{'D'},17.0,-5.0,{}
2019-11-05 15:40:34.798871304,1012.42252786827,578.0316681891919,"{'D','D','D'}",18.0,-4.0,{}
2019-11-05 15:40:34.806014161,1012.35262018547,578.145770828584,{'D'},23.0,-4.0,{}
2019-11-05 15:40:34.813157018,,,{'D'},25.0,-5.0,{}
2019-11-05 15:40:34.820299875,1011.5122364428801,579.2224287484661,"{'D','D'}",22.0,-4.0,{}
2019-11-05 15:40:34.827442732,,,{'D'},-3.0,-1.0,{}
2019-11-05 15:40:34.834585589,1008.7520382083301,579.820003031133,"{'D','D'}",22.0,-5.5,{}
2019-11-05 15:40:34.841728446,1006.6349748273401,580.29368842752,"{'D','D'}",20.5,-4.0,{}
2019-11-05 15:40:34.848871303,,,"{'D','D'}",23.5,-5.0,{}
2019-11-05 15:40:34.856014160,1004.8169974730802,581.35736476997,{'D'},20.0,-4.0,{}
2019-11-05 15:40:34.863157017,1002.5004793284699,584.35572145556,"{'D','D'}",28.0,-4.5,{}
2019-11-05 15:40:34.870299874,,,{'D'},25.0,-4.0,{}
