time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 14:40:25.970372052,,,{'D'},34.0,1.0,{}
2019-11-05 14:40:25.977514909,1240.9292227094,551.484701364768,"{'D','D'}",30.5,-0.5,{}
2019-11-05 14:40:25.984657766,1268.08322462341,547.996199648693,"{'D','D'}",34.0,-1.5,{}
2019-11-05 14:40:25.991800623,,,{'D'},46.0,-3.0,{}
2019-11-05 14:40:25.998943480,1286.32528307654,541.677591997431,"{'D','D','D'}",26.0,-3.0,{'LEFT'}
2019-11-05 14:40:26.006086337,1296.23784471354,538.663996284874,{'D'},33.0,-4.5,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.013229194,,,"{'D','D'}",18.5,-2.5,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.020372051,1294.9481091345401,541.493432059436,{'D'},17.0,-3.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.027514908,,,"{'D','D'}",15.0,-3.0,{'LEFT'}
2019-11-05 14:40:26.034657765,1296.16039899417,544.207275311406,"{'D','D'}",13.0,-3.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.041800622,1285.40963084551,546.899454429963,{'D'},4.5,-1.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.048943479,,,"{'D','D'}",0.5,-0.5,{'LEFT'}
2019-11-05 14:40:26.056086336,1280.7495421707301,544.636953876621,"{'D','D'}",0.0,-1.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.063229193,1245.2777754459598,550.364444249913,{'D'},-0.5,0.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.070372050,,,"{'D','D'}",-2.0,-0.5,{'LEFT'}
2019-11-05 14:40:26.077514907,1233.05831098703,551.548235522317,"{'D','D'}",-4.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.084657764,1196.2992083294198,555.4145855574919,"{'A','D'}",-3.0,0.0,{'LEFT'}
2019-11-05 14:40:26.091800621,,,"{'A','D','A','D'}",-3.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.098943478,1190.33157298474,556.441333975819,"{'A','D','A','D'}",-3.0,0.0,"{'LEFT','LEFT'}"
2019-11-05 14:40:26.106086335,1176.26055617265,557.618073662218,"{'A','D'}",-2.0,0.5,{}
2019-11-05 14:40:26.113229192,,,"{'A','A'}",-2.0,0.5,{}
2019-11-05 14:40:26.120372049,1155.86636656665,559.535201586087,"{'A','A'}",-1.0,0.0,{}
2019-11-05 14:40:26.127514906,,,{'A'},0.0,0.0,{}
2019-11-05 14:40:26.134657763,1131.23772662901,563.4443823209671,"{'A','A'}",0.0,0.0,{}
2019-11-05 14:40:26.141800620,1122.5862132202699,564.544304905675,{'A'},0.0,0.0,{}
2019-11-05 14:40:26.148943477,,,"{'A','A'}",0.0,0.0,{}
2019-11-05 14:40:26.156086334,1076.4087932462598,568.664656925481,"{'A','A'}",0.0,0.0,{}
2019-11-05 14:40:26.163229191,1073.5374099898402,568.711226051288,{'A'},0.0,0.0,{}
2019-11-05 14:40:26.170372048,,,"{'A','A'}",0.0,0.0,{}
2019-11-05 14:40:26.177514905,1026.31846225364,567.71822397609,"{'A','A'}",0.0,0.0,{}
2019-11-05 14:40:26.184657762,999.280830943894,568.569608057285,{'A'},-0.5,0.0,{}
2019-11-05 14:40:26.191800619,,,"{'A','A'}",-0.5,0.0,{}
2019-11-05 14:40:26.198943476,983.593274333072,567.934063393728,"{'A','A'}",-1.5,0.5,{}
2019-11-05 14:40:26.206086333,977.684519903932,568.262438149717,{'A'},-2.0,1.0,{}
2019-11-05 14:40:26.213229190,,,"{'A','A'}",-1.5,0.5,{}
2019-11-05 14:40:26.220372047,968.75590193604,567.934838608666,"{'A','A'}",-2.0,0.5,{}
2019-11-05 14:40:26.227514904,,,{'A'},-2.0,1.0,{}
2019-11-05 14:40:26.234657761,972.5782914405729,568.080399610923,"{'A','A'}",-2.0,0.5,{}
2019-11-05 14:40:26.241800618,970.272954200511,567.775545197063,"{'A','A'}",-2.0,0.5,{}
2019-11-05 14:40:26.248943475,,,{'A'},-1.0,0.0,{}
2019-11-05 14:40:26.256086332,951.0395836765131,566.960011206906,"{'A','A'}",-1.5,0.5,{}
2019-11-05 14:40:26.263229189,947.1214145099229,565.909020128157,"{'A','A'}",-1.0,0.0,{}
2019-11-05 14:40:26.270372046,,,{'A'},0.0,0.0,{}
2019-11-05 14:40:26.277514903,945.609741412056,564.596657888417,{'A'},-1.0,0.0,{}
2019-11-05 14:40:26.284657760,945.028852233538,563.767917087288,"{'A','A'}",-1.0,0.5,{}
2019-11-05 14:40:26.291800617,,,"{'A','A'}",-2.0,0.0,{}
2019-11-05 14:40:26.298943474,944.76106113541,563.158023614092,"{'A','A'}",-2.0,0.0,{}
2019-11-05 14:40:26.306086331,943.9805411307401,565.775543851017,"{'A','A'}",-2.0,0.0,{}
2019-11-05 14:40:26.313229188,,,"{'A','A'}",-4.0,0.0,{}
2019-11-05 14:40:26.320372045,943.232733322863,566.225088607218,{'A'},-2.5,0.0,{}
2019-11-05 14:40:26.327514902,943.482936940524,565.9370655293039,"{'A','A'}",-2.0,0.0,{}
2019-11-05 14:40:26.334657759,,,{'A'},-2.0,0.0,{}
2019-11-05 14:40:26.341800616,912.663473474957,562.819196095735,"{'A','A'}",-1.0,0.0,{}
