time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 16:21:32.820250715,926.84016339063,526.112281679885,"{'D','D'}",-7.0,3.5,{}
2019-11-05 16:21:32.827393572,,,"{'D','W','D','W'}",-7.0,3.0,{}
2019-11-05 16:21:32.834536429,927.9682625514861,525.861038545248,"{'D','W','D','W'}",-6.0,3.0,{}
2019-11-05 16:21:32.841679286,,,"{'D','W'}",-4.0,2.0,{}
2019-11-05 16:21:32.848822143,932.106291934623,524.531947182809,"{'D','W','D','W'}",-4.0,2.5,{}
2019-11-05 16:21:32.855965000,935.780287383067,523.382562577949,"{'D','W'}",-3.0,1.5,{}
2019-11-05 16:21:32.863107857,938.4716249546319,522.496722705592,"{'D','W','D','W'}",-4.0,1.0,{}
2019-11-05 16:21:32.870250714,,,"{'D','W'}",-5.5,3.0,{}
2019-11-05 16:21:32.877393571,943.122041302296,521.770523923722,"{'D','W','D','W'}",-4.5,1.5,{}
2019-11-05 16:21:32.884536428,,,"{'D','W','D','W'}",-5.0,1.0,{}
2019-11-05 16:21:32.891679285,947.857183999222,522.137808984099,"{'D','W','D','W'}",-5.5,2.0,{}
2019-11-05 16:21:32.898822142,950.379312410631,523.004294965216,"{'D','W'}",-7.5,1.5,{}
2019-11-05 16:21:32.905964999,,,"{'D','W','D','W'}",-10.0,2.5,{}
2019-11-05 16:21:32.913107856,951.398225337029,523.061900932513,"{'D','W','D','W'}",-11.0,2.0,{}
2019-11-05 16:21:32.920250713,952.317055205056,522.25559843972,"{'D','W'}",-24.5,4.5,{}
2019-11-05 16:21:32.927393570,,,"{'D','W','D','W'}",-14.0,3.0,{}
2019-11-05 16:21:32.934536427,952.432249640995,521.577042213189,"{'D','W'}",-19.5,3.0,{}
2019-11-05 16:21:32.941679284,952.3741750058301,521.432070943933,"{'D','W','D','W'}",-23.0,3.5,{}
2019-11-05 16:21:32.948822141,,,"{'D','W','D','W'}",-25.0,4.0,{}
2019-11-05 16:21:32.955964998,951.749874009774,521.0399550177599,"{'D','W','D','W'}",-32.0,3.5,{}
2019-11-05 16:21:32.963107855,952.2980104652189,521.363113296272,"{'D','W'}",-35.5,3.5,{}
2019-11-05 16:21:32.970250712,,,"{'D','W','D','W'}",-40.5,2.5,{}
2019-11-05 16:21:32.977393569,955.7307475470441,520.444635747625,"{'D','W','D','W'}",-45.0,3.0,{}
2019-11-05 16:21:32.984536426,,,"{'D','W','D','W'}",-80.5,2.5,{}
2019-11-05 16:21:32.991679283,958.535174303499,518.682829083254,"{'D','W'}",-54.0,1.0,{}
2019-11-05 16:21:32.998822140,959.152322917525,517.977558239916,"{'D','W','D','W'}",-66.0,0.0,{}
2019-11-05 16:21:33.005964997,,,"{'D','W'}",-77.0,0.0,{}
2019-11-05 16:21:33.013107854,960.231292996795,518.518782931028,"{'D','W','D','W'}",-53.5,0.0,{}
2019-11-05 16:21:33.020250711,961.619585109068,519.004263172019,"{'D','W','D','W'}",-64.5,-1.0,{}
2019-11-05 16:21:33.027393568,,,"{'D','W','D','W'}",-62.0,-2.0,{}
2019-11-05 16:21:33.034536425,963.494061008114,520.901474019929,"{'D','W'}",-96.5,-3.0,{}
2019-11-05 16:21:33.041679282,976.744877369796,517.884413666147,"{'D','W','D','W'}",-55.5,-1.5,{}
2019-11-05 16:21:33.048822139,,,"{'D','W','D','W'}",-66.0,-3.0,{}
