time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 16:30:21.391668715,905.893530362339,500.121217815963,"{'A','A'}",-2.0,1.0,{}
2019-11-05 16:30:21.398811572,,,"{'A','A'}",-1.5,0.0,{}
2019-11-05 16:30:21.405954429,908.7926190910159,500.08422581030504,"{'A','A'}",-0.5,0.0,{}
2019-11-05 16:30:21.413097286,913.505997451104,501.05656749311,{'A'},0.0,0.0,{}
2019-11-05 16:30:21.420240143,,,"{'A','A'}",0.0,0.0,{}
2019-11-05 16:30:21.427383000,920.144228247328,501.132558309674,"{'A','A'}",2.0,0.0,{}
2019-11-05 16:30:21.434525857,919.4962711706289,501.326084507704,"{'A','A'}",1.5,0.0,{}
2019-11-05 16:30:21.441668714,,,"{'A','A'}",1.5,0.0,{}
2019-11-05 16:30:21.448811571,926.9996615759919,500.66276403644997,{'A'},1.0,-1.0,{}
2019-11-05 16:30:21.455954428,933.45125080265,498.500483764227,"{'A','A'}",2.0,-0.5,{}
2019-11-05 16:30:21.463097285,,,"{'A','A'}",1.5,-0.5,{}
2019-11-05 16:30:21.470240142,932.200395149995,498.74406093104005,{'A'},2.0,-0.5,{}
2019-11-05 16:30:21.477382999,932.893831951328,498.520225325396,"{'A','A'}",3.0,-1.0,{}
2019-11-05 16:30:21.484525856,,,"{'A','A'}",2.0,-0.5,{}
2019-11-05 16:30:21.491668713,936.3482904011121,498.03417850635697,"{'A','A'}",3.0,-1.5,{}
2019-11-05 16:30:21.498811570,940.824878655387,498.151346049555,"{'A','A'}",2.0,-1.5,{}
2019-11-05 16:30:21.505954427,,,"{'A','A'}",3.0,-2.0,{}
2019-11-05 16:30:21.513097284,947.816861599931,497.099997177765,{'A'},2.5,-2.5,{}
2019-11-05 16:30:21.520240141,,,"{'A','A'}",2.0,-2.0,{}
2019-11-05 16:30:21.527382998,949.846842172648,496.94024554936095,"{'A','A'}",3.5,-3.0,{}
2019-11-05 16:30:21.534525855,955.2552718229421,496.359294046182,{'A'},2.0,-2.0,{}
2019-11-05 16:30:21.541668712,,,"{'A','A'}",2.5,-1.5,{}
2019-11-05 16:30:21.548811569,957.339038842663,496.205375656747,"{'A','A'}",2.5,-1.5,{}
2019-11-05 16:30:21.555954426,958.5007118501691,495.167746980175,"{'A','A'}",1.5,0.0,{}
2019-11-05 16:30:21.563097283,,,"{'A','A'}",1.5,0.0,{}
2019-11-05 16:30:21.570240140,959.00760455294,495.79939875102303,"{'A','D'}",2.0,0.0,{}
2019-11-05 16:30:21.577382997,958.479722320237,495.088775145148,"{'A','D','A','D'}",0.5,1.0,{}
2019-11-05 16:30:21.584525854,,,"{'A','D','A','D'}",0.5,3.0,{}
2019-11-05 16:30:21.591668711,958.104947245007,496.33667102163804,"{'A','D'}",0.0,3.5,{}
2019-11-05 16:30:21.598811568,951.4447155830029,504.800620637591,"{'A','D','D'}",0.0,6.0,{}
2019-11-05 16:30:21.605954425,,,"{'D','D'}",0.0,8.5,{}
2019-11-05 16:30:21.613097282,932.9577511801401,530.08825873499,{'D'},-1.0,13.0,{}
2019-11-05 16:30:21.620240139,,,"{'D','D'}",-1.0,10.0,{}
2019-11-05 16:30:21.627382996,929.3709242267571,534.625260568302,"{'D','D'}",-3.5,11.0,{}
2019-11-05 16:30:21.634525853,926.935807201628,537.69757164222,"{'D','D'}",-5.5,14.0,{}
2019-11-05 16:30:21.641668710,,,{'D'},-7.0,14.0,{}
2019-11-05 16:30:21.648811567,924.7637379146381,540.1479813978569,"{'D','D'}",-9.5,17.0,{}
2019-11-05 16:30:21.655954424,919.192792806324,547.073003296033,"{'D','D'}",-11.5,18.0,{}
2019-11-05 16:30:21.663097281,,,"{'D','D'}",-11.0,17.0,{}
2019-11-05 16:30:21.670240138,919.232811497182,550.385896564998,"{'D','D'}",-13.0,18.5,{}
2019-11-05 16:30:21.677382995,919.080374692597,551.003363190988,{'D'},-5.5,7.0,{}
2019-11-05 16:30:21.684525852,,,"{'D','D'}",-5.0,6.0,{}
2019-11-05 16:30:21.691668709,919.688723948043,549.725677786001,"{'D','D'}",-12.0,16.0,{}
2019-11-05 16:30:21.698811566,,,"{'D','D'}",-13.0,14.5,{}
2019-11-05 16:30:21.705954423,920.276661508223,545.6580674385959,"{'D','D'}",-12.5,13.0,{}
2019-11-05 16:30:21.713097280,924.6527364144099,541.137558199498,{'D'},-5.5,4.5,{}
2019-11-05 16:30:21.720240137,,,"{'D','D'}",-17.5,12.0,{}
2019-11-05 16:30:21.727382994,928.8002503143989,538.262346778781,"{'D','D'}",-9.0,5.0,{}
2019-11-05 16:30:21.734525851,927.4479183132111,541.071711689102,{'D'},-9.0,4.0,{}
2019-11-05 16:30:21.741668708,,,"{'D','D'}",-0.5,-1.0,{}
2019-11-05 16:30:21.748811565,936.91404489476,531.004223395923,"{'D','D'}",-2.0,0.0,{}
2019-11-05 16:30:21.755954422,944.716442785853,521.9806744266599,"{'D','D'}",-1.5,-0.5,{}
2019-11-05 16:30:21.763097279,,,"{'D','D'}",-0.5,-3.0,{}
2019-11-05 16:30:21.770240136,945.9781463444591,519.53315232031,{'D'},0.0,-4.5,{}
2019-11-05 16:30:21.777382993,949.531295015518,512.68454580554,"{'D','D'}",0.0,-7.0,{}
2019-11-05 16:30:21.784525850,,,"{'D','D'}",0.0,-5.0,{}
2019-11-05 16:30:21.791668707,950.9508553925549,509.43916922351195,"{'D','D'}",-1.0,-5.5,{}
2019-11-05 16:30:21.798811564,956.316820532791,499.88656048171094,{'D'},-1.5,-6.0,{}
2019-11-05 16:30:21.805954421,,,"{'D','D'}",-1.5,-5.5,{}
2019-11-05 16:30:21.813097278,958.371533105175,496.25528880840795,"{'D','D'}",-1.0,-6.0,{}
2019-11-05 16:30:21.820240135,,,"{'D','D'}",-1.5,-5.5,{}
2019-11-05 16:30:21.827382992,959.0044125954801,495.370547094077,"{'D','D'}",-1.5,-5.0,{}
2019-11-05 16:30:21.834525849,959.381991247518,494.71171669960296,{'D'},-1.5,-4.0,{}
2019-11-05 16:30:21.841668706,,,"{'D','D'}",-1.0,-5.0,{}
2019-11-05 16:30:21.848811563,962.668740978448,486.35517409162003,"{'D','D'}",-1.0,-4.0,{}
2019-11-05 16:30:21.855954420,968.2390843376711,474.50274436079496,"{'D','D'}",-1.0,-5.0,{}
2019-11-05 16:30:21.863097277,,,{'D'},-0.5,-3.0,{}
2019-11-05 16:30:21.870240134,967.413801632704,473.63541929730303,"{'D','D'}",-1.0,-7.0,{}
2019-11-05 16:30:21.877382991,968.445713954841,471.306347092129,"{'D','D'}",-0.5,-3.0,{}
2019-11-05 16:30:21.884525848,,,"{'D','D'}",-1.5,-3.0,{}
2019-11-05 16:30:21.891668705,968.614932803788,471.074604508947,{'D'},-1.0,-2.0,{}
2019-11-05 16:30:21.898811562,968.0364880636411,472.150892671995,"{'D','D'}",-2.0,-3.0,{}
2019-11-05 16:30:21.905954419,,,"{'D','D'}",-1.5,-2.0,{}
2019-11-05 16:30:21.913097276,967.765342617664,471.73189179633795,{'D'},-0.5,-2.0,{}
2019-11-05 16:30:21.920240133,,,"{'D','D'}",-0.5,-1.0,{}
2019-11-05 16:30:21.927382990,965.652993723428,473.40312938947307,"{'D','D'}",0.0,-1.0,{}
2019-11-05 16:30:21.934525847,964.506104174317,475.096766106065,{'D'},0.5,-1.0,{}
2019-11-05 16:30:21.941668704,,,"{'D','D'}",0.5,-1.0,{}
2019-11-05 16:30:21.948811561,963.536290541073,478.078309511118,"{'D','D'}",1.0,-0.5,{}
2019-11-05 16:30:21.955954418,964.438041849617,479.454706135639,"{'D','D'}",0.5,0.0,{}
2019-11-05 16:30:21.963097275,,,"{'D','D'}",1.0,0.0,{}
2019-11-05 16:30:21.970240132,964.5177437119349,480.242929508555,{'D'},0.0,-0.5,{}
2019-11-05 16:30:21.977382989,963.1147573802831,484.126965979673,"{'D','D'}",0.0,0.0,{}
2019-11-05 16:30:21.984525846,,,"{'D','D'}",0.0,0.0,{}
2019-11-05 16:30:21.991668703,961.719782311248,487.569255725746,"{'D','D'}",0.0,0.0,{}
2019-11-05 16:30:21.998811560,960.245997598715,488.991853574019,"{'A','D'}",0.0,0.0,{}
2019-11-05 16:30:22.005954417,,,"{'A','D','A','D'}",-0.5,0.0,{}
2019-11-05 16:30:22.013097274,959.702200762706,489.149537891708,"{'A','D','A','D'}",-0.5,0.0,{}
2019-11-05 16:30:22.020240131,,,"{'A','D'}",0.0,0.0,{}
2019-11-05 16:30:22.027382988,959.779449994477,489.365250914559,"{'A','D','A','D'}",-1.0,0.0,{}
2019-11-05 16:30:22.034525845,957.024846107084,490.696629963198,"{'A','A'}",0.0,0.0,{}
2019-11-05 16:30:22.041668702,,,"{'A','A'}",-0.5,0.0,{}
2019-11-05 16:30:22.048811559,953.91349468196,492.065832013986,{'A'},-0.5,0.0,{}
2019-11-05 16:30:22.055954416,951.777581305775,492.555060180681,"{'A','A'}",-0.5,0.0,{}
2019-11-05 16:30:22.063097273,,,"{'A','A'}",-1.0,0.0,{}
2019-11-05 16:30:22.070240130,949.434864120235,493.530051983559,"{'A','A'}",-1.0,0.0,{}
2019-11-05 16:30:22.077382987,948.660751492478,493.688107800934,"{'A','A'}",-1.5,0.0,{}
2019-11-05 16:30:22.084525844,,,"{'A','A'}",-2.0,0.0,{}
2019-11-05 16:30:22.091668701,947.5832863135629,494.434793717832,{'A'},-3.0,0.0,{}
2019-11-05 16:30:22.098811558,946.0717877078889,495.283719323897,"{'A','A'}",-2.5,-0.5,{}
2019-11-05 16:30:22.105954415,,,"{'A','A'}",-3.0,-1.0,{}
2019-11-05 16:30:22.113097272,946.485851056692,495.635290415102,"{'A','A'}",-4.5,-1.5,{}
2019-11-05 16:30:22.120240129,946.4992931455271,496.103281667371,{},-3.0,-1.0,{}
2019-11-05 16:30:22.127382986,,,{},-3.5,-2.0,{}
2019-11-05 16:30:22.134525843,947.404446847379,496.53878446059997,{},-2.0,-1.0,{}
2019-11-05 16:30:22.141668700,,,{},-1.0,-1.5,{}
2019-11-05 16:30:22.148811557,947.4544562732269,496.448555290759,{},-1.0,-1.0,{}
2019-11-05 16:30:22.155954414,947.2749961744679,496.59592705146497,{},-0.5,-1.0,{}
2019-11-05 16:30:22.163097271,,,{},0.0,-1.5,{}
