time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 16:37:08.534517715,988.158399073965,507.857357359074,"{'D','D'}",-16.5,-3.0,{}
2019-11-05 16:37:08.541660572,,,"{'D','D'}",-14.0,-1.5,{}
2019-11-05 16:37:08.548803429,990.170479806715,507.57985458711306,"{'D','D'}",-16.0,-1.0,{}
2019-11-05 16:37:08.555946286,995.671445625987,508.157845882395,"{'D','D'}",-19.5,-1.0,{}
2019-11-05 16:37:08.563089143,,,{'D'},-15.0,0.0,{}
2019-11-05 16:37:08.570232000,996.827859027184,509.405730924029,"{'D','D'}",-11.5,0.0,{}
2019-11-05 16:37:08.577374857,1004.25259827377,512.076337409065,"{'D','D'}",-12.0,1.0,{}
2019-11-05 16:37:08.584517714,,,{'D'},-10.5,1.0,{}
2019-11-05 16:37:08.591660571,1008.69684085173,513.377139994695,"{'D','D'}",-4.5,1.0,{}
2019-11-05 16:37:08.598803428,1013.2701272329301,515.666950858614,"{'D','D'}",-2.0,0.0,{}
2019-11-05 16:37:08.605946285,,,"{'D','D'}",1.0,1.0,{}
2019-11-05 16:37:08.613089142,1012.81051724684,514.386104808076,"{'D','D'}",11.5,0.0,{}
2019-11-05 16:37:08.620231999,,,{'D'},16.5,0.0,{}
2019-11-05 16:37:08.627374856,1023.6108448731301,514.927263167548,"{'D','D'}",21.5,0.5,{}
2019-11-05 16:37:08.634517713,1094.84200406485,508.254913032643,"{'D','D'}",61.0,1.0,{}
2019-11-05 16:37:08.641660570,,,{'D'},29.0,0.0,{}
2019-11-05 16:37:08.648803427,1118.2576105933802,505.033689786001,"{'D','D'}",37.0,0.5,{}
2019-11-05 16:37:08.655946284,1125.81973588841,503.884222299094,"{'D','D'}",38.0,0.0,{}
2019-11-05 16:37:08.663089141,,,{'D'},38.0,0.0,{}
2019-11-05 16:37:08.670231998,1141.30011638626,505.565571032805,"{'D','D'}",15.0,-1.0,{}
2019-11-05 16:37:08.677374855,1143.82051814136,506.17890783611296,"{'D','D'}",54.5,-2.5,{}
2019-11-05 16:37:08.684517712,,,{'D'},39.0,-2.0,{}
2019-11-05 16:37:08.691660569,1145.3734966685001,506.04531260874097,"{'D','D'}",41.0,-1.5,{}
2019-11-05 16:37:08.698803426,1146.46474769363,505.256594107178,{'D'},33.0,-1.5,{}
2019-11-05 16:37:08.705946283,,,{'A'},28.5,-1.0,{}
2019-11-05 16:37:08.713089140,1145.10916018586,505.54980884626605,"{'A','A'}",23.5,-1.5,{}
2019-11-05 16:37:08.720231997,,,"{'A','A'}",23.0,-1.0,{}
2019-11-05 16:37:08.727374854,1124.0102055079699,506.625012255189,"{'A','A'}",15.0,-0.5,{}
2019-11-05 16:37:08.734517711,1105.63710730341,508.324983980495,{'A'},9.0,-0.5,{}
2019-11-05 16:37:08.741660568,,,"{'A','A'}",5.0,0.0,{}
2019-11-05 16:37:08.748803425,1107.01503484345,508.43752913897697,"{'A','A'}",2.0,0.5,{}
2019-11-05 16:37:08.755946282,1096.77310102182,508.268780019639,"{'A','A'}",-0.5,1.0,{}
2019-11-05 16:37:08.763089139,,,{'A'},-2.0,1.5,{}
2019-11-05 16:37:08.770231996,1079.09129326731,509.036219455203,"{'A','A'}",-2.0,2.0,{}
2019-11-05 16:37:08.777374853,1043.64715751849,511.92712586077903,"{'A','A'}",-3.5,2.0,{}
2019-11-05 16:37:08.784517710,,,"{'A','A'}",-2.5,1.5,{}
2019-11-05 16:37:08.791660567,1043.38677971283,512.070501308501,"{'A','A'}",-2.0,2.0,{}
2019-11-05 16:37:08.798803424,,,{'A'},-2.5,1.0,{}
2019-11-05 16:37:08.805946281,1037.15444750381,512.5536288176451,"{'A','A'}",-1.0,0.0,{}
